time (sec)	X tilt (m/s^2)	Y tilt (m/s^2)	Z tilt (m/s^2)
14.8919	4.61376	-8.32808	-1.5028
14.9019	4.61176	-8.32934	-1.50174
14.9119	4.60982	-8.33056	-1.50066
14.9219	4.60794	-8.33176	-1.49955
14.9319	4.60611	-8.33291	-1.49843
14.9419	4.60433	-8.33403	-1.49729
14.9519	4.60261	-8.33512	-1.49612
14.9619	4.60094	-8.33617	-1.49494
14.9719	4.59932	-8.33718	-1.49372
14.9819	4.59776	-8.33816	-1.49249
14.9919	4.59625	-8.3391	-1.49123
15.0019	4.59479	-8.34001	-1.48995
15.0119	4.59339	-8.34089	-1.48865
15.0219	4.59204	-8.34173	-1.48733
15.0319	4.59074	-8.34254	-1.48598
15.0419	4.58949	-8.3433	-1.48461
15.0519	4.5883	-8.34403	-1.48322
15.0619	4.58716	-8.34472	-1.4818
15.0719	4.58608	-8.34537	-1.48036
15.082	4.58505	-8.34599	-1.4789
15.092	4.58406	-8.34657	-1.47741
15.102	4.58314	-8.34711	-1.4759
15.112	4.58226	-8.34761	-1.47436
15.122	4.58144	-8.34808	-1.4728
15.132	4.58067	-8.3485	-1.47121
15.142	4.57995	-8.34889	-1.4696
15.152	4.57929	-8.34924	-1.46796
15.162	4.57868	-8.34954	-1.4663
15.172	4.57812	-8.34981	-1.46461
