time (sec)	X vibration (m/s^2)	Y vibration (m/s^2)	Z vibration (m/s^2)
6.829	0.0507068	0.0349022	-0.0622758
6.839	0.068695	-0.0626153	-0.0851084
6.85	0.195172	-0.166397	-0.278131
6.859	0.323899	-0.395707	-0.339769
6.869	0.320101	-0.340646	-0.332356
6.879	0.413684	-0.181247	-0.0927963
6.889	0.337566	-0.0958962	0.0270953
6.901	0.301213	-0.0600327	-0.0349301
6.909	0.193724	0.0101984	0.0549912
6.92	-0.0420989	0.190995	0.202331
6.929	0.0304484	0.234616	0.219794
6.939	0.0701198	0.359078	0.373789
6.951	0.0445598	0.389359	0.556328
6.959	-0.0914289	0.391762	0.482207
6.97	-0.411422	0.514214	0.440551
6.98	-0.752681	0.495586	0.134374
6.989	-0.994582	0.331401	-0.0610193
7	-1.129	0.253841	-0.428186
7.009	-1.31176	0.13428	-0.27493
7.02	-1.07479	-0.0142692	-0.43523
7.03	-0.64419	-0.0499073	-0.471514
7.039	-0.541572	0.0567163	-0.403351
7.049	-0.0920045	-0.0579537	-0.159033
7.059	0.416901	-0.16514	0.11736
7.069	0.715212	-0.028049	0.358729
7.08	0.813575	0.0303036	0.47446
7.089	0.702996	-0.0558018	0.693514
7.1	0.108398	-0.105098	0.81384
7.109	-0.135316	-0.392994	0.854534
7.12	-0.279283	-0.324767	0.925253
7.129	-0.0938142	-0.312146	1.05988
7.14	0.443374	-0.178963	0.724359
7.149	0.752836	0.0074932	0.823264
7.16	1.3923	0.19484	0.159867
7.169	1.70597	0.326627	-0.409176
7.18	1.74173	0.494296	-1.13899
7.19	1.6294	0.479764	-1.38001
7.2	1.48222	0.410047	-1.31825
7.209	1.42287	0.319154	-0.940262
7.219	1.47187	0.197962	-0.398227
7.228	0.893349	0.289777	0.834003
7.24	0.833166	0.0356566	1.06377
7.249	0.796205	-0.176649	0.945718
7.26	0.707255	-0.538278	0.548015
7.269	1.28663	-0.323693	0.607719
7.28	0.984116	-0.57829	-0.0122472
7.29	0.529589	-0.559692	-0.612908
7.299	0.0950029	-0.558042	-0.845996
7.31	-0.535937	-0.161924	-1.15145
7.32	-1.35908	0.477637	-0.960311
7.329	-1.74618	0.608196	-0.495744
7.34	-1.5162	0.169357	0.0632988
7.349	-1.23899	-0.192126	0.624135
7.359	-1.09161	-0.224192	0.809202
7.368	-0.75763	0.0215109	0.225991
7.379	-0.470091	0.29578	-0.602785
7.389	0.0524793	0.589097	-0.826354
7.399	0.186394	0.946173	-1.82635
7.409	0.126565	1.27476	-2.42305
7.419	-0.721901	1.89261	-2.89724
7.429	-1.6926	1.76806	-2.81588
7.44	-1.32364	1.91673	-1.83278
7.449	-1.04163	1.5395	-1.35269
7.46	-0.771498	-0.534768	-0.51629
7.47	-0.327641	-1.07914	-0.239993
7.479	-0.0388678	-1.60687	-0.0372892
7.49	-0.305381	-1.7795	0.283846
7.499	-0.636497	-1.94161	0.996858
7.51	-0.677044	-1.74136	2.05864
7.52	-0.731584	-0.839746	2.93755
